Rank,Airport,Location,Country,Code (IATA/ICAO),Total passengers,% change,Lat,Long,Type
31,Seattle-Tacoma International Airport,Seattle WA,USA,SEA," 42,340,537 ",12.9,47.449166999999996,-122.30805600000001,Domestic
32,Chengdu Shuangliu International Airport,Chengdu,China (People's Republic of China),CTU," 42,244,842 ",12.0,30.578333,103.94833299999999,Domestic
33,Toronto Pearson International Airport,Toronto ON,Canada,YYZ," 41,036,847 ",6.4,43.677222,-79.63083299999998,International
34,Munich Airport,Munich,Germany,MUC," 40,981,522 ",3.2,48.354721999999995,11.7875,International
35,Chhatrapati Shivaji International Airport,Mumbai,India,BOM," 40,637,377 ",16.1,19.090833,72.866667,Domestic
36,Aeroporto di Roma-Fiumicino,Rome,Italy,FCO," 40,422,156 ",5.0,41.811111,12.2525,International
37,Gatwick Airport,London,United Kingdom,LGW," 40,269,087 ",5.7,51.152778000000005,-0.19,International
38,Sydney International Airport,Sydney,Australia,SYD," 39,915,674 ",2.7,-33.9475,151.175833,Domestic
39,Shenzhen Baoan International Airport,Shenzhen,China (People's Republic of China),SZX," 39,721,619 ",9.5,22.638333,113.81166699999999,Domestic
40,Aeropuerto de Barcelona-El Prat,Barcelona,Spain,BCN," 39,674,095 ",5.7,41.296944,2.078333,International
41,Guarulhos International Airport,São Paulo,Brazil,GRU," 39,213,865 ",-1.4,-23.435556,-46.473333000000004,Domestic
42,Hongqiao International Airport,Shanghai,China (People's Republic of China),SHA," 39,090,865 ",3.0,31.197778000000003,121.33333300000001,Domestic
43,Orlando International Airport,Orlando FL,USA,MCO," 38,727,749 ",8.4,28.431389000000003,-81.324444,Domestic
44,Taiwan Taoyuan International Airport,Taipei,Chinese Taipei,TPE," 38,473,333 ",7.5,25.081944,121.22388899999999,International
45,"Aeropuerto Internacional de la Ciudad de México ""Lic Benito Juárez""",Mexico City,Mexico,MEX," 38,433,288 ",12.2,19.438610999999998,-99.066389,Domestic
46,Kunming International Airport,Kunming,China (People's Republic of China),KMG," 37,523,220 ",16.0,25.0,102.75,Domestic
47,Newark Liberty International Airport,Newark NJ,USA,EWR," 37,494,704 ",5.3,40.693056,-74.168611,Domestic
48,Narita International Airport,Tokyo,Japan,NRT," 37,268,307 ",4.9,35.763889,140.39111100000002,International
49,Ninoy Aquino International Airport,Manila,Philippines,MNL," 36,583,459 ",7.3,14.511389000000001,121.015833,Domestic
50,Minneapolis/St Paul International Airport,Minneapolis MN,USA,MSP," 36,582,854 ",4.1,44.884167,-93.214722,Domestic
